question,intent,answer,source_dataset
What was the total goal count in the match between Trinidad and Tobago and Guyana?,total_goals,1,results
Did Tressor Moreno score from the penalty spot against Venezuela?,penalty_status,Yes,goalscorers
Which tournament featured South Korea versus Germany?,tournament,Friendly,results
What score did the home team Bahrain record against Qatar?,home_team_score,0,results
What was the away team Panama's score against Colombia?,away_team_score,0,results
Which team was victorious in the penalty shootout between Japan and Croatia?,shootout_winner,Croatia,shootouts
Did Joonas Tamm score from the penalty spot against Gibraltar?,penalty_status,No,goalscorers
Which tournament featured Iceland versus Ukraine?,tournament,UEFA Euro qualification,results
When did South Korea face Singapore?,match_date,1981-09-04,results
Which team was victorious in the penalty shootout between Senegal and Ivory Coast?,shootout_winner,Ivory Coast,shootouts
Which side won when Qatar faced Iran?,match_winner,Iran,results
What day was the match between Australia and Thailand?,match_date,2011-09-02,results
How many goals did the away team Argentina score while playing away to Paraguay?,away_team_score,1,results
What date did Algeria and Egypt play each other?,match_date,1990-03-08,results
Did either Cambodia or Malaysia have home advantage?,neutral_status,Yes,results
What was the score between Ivory Coast and Ghana in Friendly?,match_score,Ivory Coast 1 - 1 Ghana,results
How many goals did both teams score in total?,total_goals,1,results
What was the date of Ecuador versus Brazil?,match_date,1959-12-27,results
What score did Dominican Republic and Panama finish with?,match_score,Dominican Republic 0 - 2 Panama,results
What competition did United States and Chile play in?,tournament,Friendly,results
Was Norway against Germany played away from both teams' home grounds?,neutral_status,No,results
Who was the winner of the penalty shootout between France and Netherlands?,shootout_winner,France,shootouts
What minute was Bashar Abdullah's goal for Kuwait?,goal_minute,60,goalscorers
Who was victorious in the match between Romania and Ukraine?,match_winner,Romania,results
What minute was Gheorghe Craioveanu's goal for Romania?,goal_minute,32,goalscorers
Who scored for Saudi Arabia in the match against Yemen on 2021-06-05?,scorer,Salem Al-Dawsari,goalscorers
When was the Friendly match between Switzerland and Sweden held?,match_date,1972-04-26,results
At what point in the match did Jamie Reid score against Luxembourg?,goal_minute,7,goalscorers
Which team was victorious in the penalty shootout between Switzerland and Colombia?,shootout_winner,Switzerland,shootouts
Which team kicked first in the shootout between Argentina and Colombia?,first_shooter,Colombia,shootouts
Who won the African Cup of Nations qualification match between Zambia and Madagascar?,match_winner,Zambia,results
What competition did Myanmar and Macau play in?,tournament,FIFA World Cup qualification,results
What was the score between Bulgaria and England?,match_score,Bulgaria 0 - 3 England,results
Which team defeated the other in Martinique versus French Guiana?,match_winner,Martinique,results
On what date did Finland play Denmark?,match_date,2023-09-10,results
Was Canada against Poland played away from both teams' home grounds?,neutral_status,No,results
Was Kenny Miller's goal for Scotland against Germany an own goal?,own_goal_status,No,goalscorers
What was the score between Ukraine and Bulgaria in Friendly?,match_score,Ukraine 3 - 0 Bulgaria,results
What score did the away team Malta record against Azerbaijan?,away_team_score,0,results
How many goals were scored altogether when Guinea played Senegal?,total_goals,7,results
When was the match between Oman and Kenya played?,match_date,1994-02-06,results
How many goals did the home team Colombia score while hosting Chile?,home_team_score,2,results
Which tournament was the match between Latvia and Estonia part of?,tournament,Friendly,results
Which location hosted the match between Iceland and Republic of Ireland?,match_location,"Reykjavík, Iceland",results
Was Wales against San Marino played away from both teams' home grounds?,neutral_status,No,results
What score did the home team Lebanon record against Cambodia?,home_team_score,5,results
Did Cyprus or Israel win the match?,match_winner,Draw,results
When did the match between Guinea-Bissau and Senegal take place?,match_date,1981-02-05,results
What was the home score when Andorra played Malta?,home_team_score,0,results
Was Sjaak Swart's goal in Netherlands versus Denmark a spot kick?,penalty_status,No,goalscorers
What was the home team's score in Cape Verde versus Tunisia?,home_team_score,1,results
How did the match between Uruguay and Cuba end?,match_score,Uruguay 2 - 0 Cuba,results
Which team took the first kick between Haiti and Cuba on 1997-10-20?,first_shooter,Unknown,shootouts
On what date did Panama play Nicaragua?,match_date,1973-12-02,results
When was the COSAFA Cup match between Zambia and Mauritius held?,match_date,2004-07-31,results
At what minute did Joselu find the net against Norway?,goal_minute,84,goalscorers
Which team defeated the other in France versus Sweden?,match_winner,France,results
Who won the shootout involving Saudi Arabia and North Korea?,shootout_winner,North Korea,shootouts
Who started the penalty shootout between Senegal and Sierra Leone?,first_shooter,Unknown,shootouts
Who scored for Bahamas in the match against Anguilla on 2000-03-05?,scorer,George Moussis,goalscorers
Did Rónald Gómez convert a penalty against Trinidad and Tobago on 2001-09-01?,penalty_status,No,goalscorers
Which team kicked first in the shootout between Japan and Sweden?,first_shooter,Unknown,shootouts
Which tournament included the match between Mauritius and Zambia?,tournament,African Cup of Nations qualification,results
Where did Mozambique face Namibia?,match_location,"Maputo, Mozambique",results
What competition was the match between Austria and Luxembourg played in?,tournament,UEFA Euro qualification,results
Was Austin Huggins's goal against Turks and Caicos Islands scored into their own net?,own_goal_status,No,goalscorers
Who won the shootout involving United States and Canada?,shootout_winner,United States,shootouts
What was the date of Sweden versus Norway?,match_date,1917-08-19,results
Was Guinea versus Vanuatu held at a neutral location?,neutral_status,Yes,results
In which tournament did Austria face Turkey?,tournament,Friendly,results
What was the away score when Singapore played Sri Lanka?,away_team_score,1,results
What date did Colombia and Peru play each other?,match_date,1995-07-07,results
How many total goals were scored between Netherlands and Indonesia?,total_goals,11,results
Which tournament included the match between Spain and England?,tournament,Friendly,results
Which team won the shootout between Gambia and Guinea?,shootout_winner,Guinea,shootouts
Which team won the shootout between Thailand and Cambodia?,shootout_winner,Thailand,shootouts
How many goals were scored by the home team Finland against Latvia?,home_team_score,3,results
How many goals did the away team Austria score while playing away to Spain?,away_team_score,1,results
What was the date of Chile versus Ecuador?,match_date,1949-04-17,results
How many goals did the home team Italy score while hosting Switzerland?,home_team_score,4,results
What was the goal minute for Walter Schachner against Turkey on 1982-11-17?,goal_minute,53,goalscorers
Was the match between Egypt and Ivory Coast played on neutral soil?,neutral_status,No,results
Did José Nabil Ondo score from the penalty spot against São Tomé and Príncipe?,penalty_status,No,goalscorers
Who found the net for Ivory Coast against Angola?,scorer,Joël Tiéhi,goalscorers
Did Czechoslovakia or Switzerland win the match?,match_winner,Czechoslovakia,results
Which team defeated the other in Malawi versus DR Congo?,match_winner,Malawi,results
Which tournament featured Equatorial Guinea versus DR Congo?,tournament,African Cup of Nations qualification,results
Was Turkmenistan versus China held at a neutral location?,neutral_status,No,results
What was the total goal count in the match between Latvia and Poland?,total_goals,3,results
Was the match between Egypt and Lithuania played on neutral soil?,neutral_status,Yes,results
What was the result of Scotland against Canada?,match_score,Scotland 1 - 1 Canada,results
What was the away team's score when Central African Republic played Mauritania on 2021-03-30?,away_team_score,1,results
Which team won between Arameans Suryoye and Occitania?,match_winner,Draw,results
What minute was Oleg Shatskikh's goal for Uzbekistan?,goal_minute,75,goalscorers
When was the British Home Championship match between Northern Ireland and Scotland held?,match_date,1983-12-13,results
On what date did Bahrain play Paraguay?,match_date,1986-03-08,results
What was the score between Sudan and Kenya on 1978-01-26?,match_score,Sudan 3 - 0 Kenya,results
Who won the match between Czechoslovakia and Poland on 1962-10-28?,match_winner,Czechoslovakia,results
When did Iran face Bahrain?,match_date,2004-08-06,results
Which tournament was the match between Germany and Liechtenstein part of?,tournament,Friendly,results
Which team won the shootout between Iraq and Iran?,shootout_winner,Iraq,shootouts
What score did the away team Peru record against Uruguay?,away_team_score,3,results
Who was the first shooter in the penalty shootout between Iraq and India?,first_shooter,India,shootouts
Which team kicked first in the shootout between Occitania and Iraqi Kurdistan?,first_shooter,Unknown,shootouts
What was the score between Sweden and German DR in Friendly?,match_score,Sweden 0 - 1 German DR,results
In which tournament did Germany face Turkey?,tournament,UEFA Euro qualification,results
Who was on the scoresheet for Albania against Kazakhstan?,scorer,Erjon Bogdani,goalscorers
What was the score between Northern Ireland and Scotland in British Home Championship?,match_score,Northern Ireland 1 - 3 Scotland,results
Which tournament included the match between Brazil and Ecuador?,tournament,Copa América,results
Was Mexico versus Colombia held at a neutral location?,neutral_status,Yes,results
Was Ecuador versus Bolivia held at a neutral location?,neutral_status,Yes,results
How many goals did the away team Spain score in the Friendly match against Republic of Ireland?,away_team_score,4,results
Which side took the opening penalty between Senegal and Ghana?,first_shooter,Unknown,shootouts
Which team won the shootout between France and Czech Republic?,shootout_winner,Czech Republic,shootouts
On what date did Jersey play Isle of Wight?,match_date,2003-07-04,results
What was the result of Kenya against Madagascar?,match_score,Kenya 1 - 2 Madagascar,results
Did Mahamadou Diarra register an own goal in the match against Guinea?,own_goal_status,No,goalscorers
How many times did the away team Uruguay score against Argentina?,away_team_score,0,results
What competition did Montenegro and Cyprus play in?,tournament,UEFA Nations League,results
What was the goal minute for Nawaf Al-Temyat against Kuwait on 2000-10-24?,goal_minute,45,goalscorers
Who won the shootout when Togo played Sierra Leone?,shootout_winner,Togo,shootouts
In which tournament did Qatar face Saudi Arabia?,tournament,Gulf Cup,results
Who won the match between Iraq and Libya?,match_winner,Iraq,results
Did Gerd Müller register an own goal in the match against Bulgaria?,own_goal_status,No,goalscorers
How many goals were there in the match between Austria and Netherlands?,total_goals,5,results
Who was the winner when Northern Ireland played Cyprus?,match_winner,Northern Ireland,results
Did either Zambia or Zanzibar have home advantage?,neutral_status,Yes,results
Who was the goalscorer for Faroe Islands versus Romania?,scorer,Viljormur Davidsen,goalscorers
Did Haris Vučkić score from the penalty spot against Kosovo?,penalty_status,No,goalscorers
Who scored for South Africa in the match against Burkina Faso on 2017-10-07?,scorer,Sibusiso Vilakazi,goalscorers
What minute was Juan Bautista Villalba's goal for Paraguay?,goal_minute,31,goalscorers
When was the match between Malta and Germany played?,match_date,1998-09-02,results
What was the score between Scotland and Portugal?,match_score,Scotland 1 - 3 Portugal,results
Was the goal by Kenneth Hughes against Bahamas scored from a penalty?,penalty_status,Yes,goalscorers
Who won the penalty shootout between Iran and Kuwait on 1984-12-16?,shootout_winner,Kuwait,shootouts
Who scored for Panama against Grenada?,scorer,Alberto Quintero,goalscorers
What competition did Mexico and Ghana play in?,tournament,Friendly,results
In which city and country did Peru play Chile?,match_location,"Lima, Peru",results
Was Tayfur Havutçu's goal for Turkey against Finland a penalty?,penalty_status,No,goalscorers
Who won the shootout involving Burkina Faso and Gabon?,shootout_winner,Burkina Faso,shootouts
Who kicked first when Lesotho played Zimbabwe in a penalty shootout?,first_shooter,Unknown,shootouts
What was the away team's goal total against Qatar?,away_team_score,0,results
What was the total number of goals in Cyprus versus France?,total_goals,7,results
What was the home score when Finland played Norway?,home_team_score,2,results
What was the result of Colombia against Panama?,match_score,Colombia 3 - 0 Panama,results
What was the final result when Republic of Ireland played Spain?,match_score,Republic of Ireland 1 - 4 Spain,results
Who won the shootout when Iraq played Iran?,shootout_winner,Iraq,shootouts
Who scored for Russia in the match against Finland on 1967-08-30?,scorer,Murtaz Khurtsilava,goalscorers
Who was the winner of the penalty shootout between Burkina Faso and Egypt?,shootout_winner,Egypt,shootouts
Which team took the first penalty between Eswatini and Zambia?,first_shooter,Unknown,shootouts
Which player scored for Greece in the 2024-09-07 match against Finland?,scorer,Benjamin Källman,goalscorers
Was the match between Denmark and Sweden played at a neutral venue?,neutral_status,No,results
Who won the penalty shootout between Gibraltar and Åland Islands?,shootout_winner,Åland Islands,shootouts
Who scored for El Salvador in the match against Honduras on 1969-06-27?,scorer,Juan Ramón Martínez,goalscorers
Did Clarence Goodson score from the penalty spot against United States?,penalty_status,No,goalscorers
Which location hosted the match between Chile and Brazil?,match_location,"Santiago, Chile",results
What was the total number of goals in Eswatini versus Congo?,total_goals,1,results
When did the match between Sri Lanka and Uzbekistan take place?,match_date,1999-11-23,results
What was the away team's score when Uruguay played Brazil on 2020-11-17?,away_team_score,2,results
Who took the first penalty in the shootout between Iran and Syria?,first_shooter,Iran,shootouts
Who won the match between Costa Rica and Jamaica on 2021-07-20?,match_winner,Costa Rica,results
Where was the AFC Asian Cup match between Iraq and Vietnam held?,match_location,"Bangkok, Thailand",results
What was the score between Jamaica and United States in CONCACAF Nations League?,match_score,Jamaica 0 - 1 United States,results
Was the match between Trinidad and Tobago and Suriname played on neutral soil?,neutral_status,No,results
Who scored for Mexico in the match against United States on 1993-07-25?,scorer,Desmond Armstrong,goalscorers
Who started the penalty shootout between Brazil and France?,first_shooter,Brazil,shootouts
Which tournament featured Senegal versus Benin?,tournament,African Cup of Nations qualification,results
How many goals did the away team Gambia score while playing away to Sierra Leone?,away_team_score,1,results
Did Alan Shearer score from the penalty spot against Poland?,penalty_status,No,goalscorers
How many goals were scored altogether when Malta played North Macedonia?,total_goals,2,results
Was the venue neutral for the match between Liberia and Ghana?,neutral_status,No,results
How many goals did the home team Northern Ireland score in the UEFA Euro qualification match against Netherlands?,home_team_score,0,results
Can you tell me the score between Lebanon and Iraq?,match_score,Lebanon 1 - 1 Iraq,results
What was the away team Germany's score against Georgia?,away_team_score,2,results
What was the away team Syria's score against Myanmar?,away_team_score,3,results
Which player scored for Estonia against Lithuania?,scorer,Arnold Pihlak,goalscorers
At what point in the match did Mao Jianqing score against Iran?,goal_minute,33,goalscorers
How did the match between Luxembourg and Denmark end?,match_score,Luxembourg 0 - 2 Denmark,results
What was the competition for Wales against Russia on 2003-11-19?,tournament,UEFA Euro qualification,results
Did Walter Centeno score a penalty in the match against Guadeloupe?,penalty_status,No,goalscorers
How many goals did both teams score in total?,total_goals,1,results
What was the home team's score when San Marino played Hungary on 2021-03-28?,home_team_score,0,results
What competition was the match between Belize and Grenada played in?,tournament,FIFA World Cup qualification,results
Was Akinori Nishizawa's goal against Nepal scored into their own net?,own_goal_status,No,goalscorers
At what point in the match did Danny Welbeck score against Lithuania?,goal_minute,45,goalscorers
How did Uruguay vs Argentina finish?,match_score,Uruguay 3 - 0 Argentina,results
What was the overall goal total for the match?,total_goals,2,results
When was the match between German DR and Portugal played?,match_date,1959-06-21,results
What was the overall goal total for the match?,total_goals,4,results
What was the home team's score in Bahrain versus Lebanon?,home_team_score,3,results
Did Georgi Kondratiev's goal for Russia come from a penalty kick?,penalty_status,No,goalscorers
What was the total number of goals scored between Cyprus and Iran?,total_goals,0,results
Which team kicked first in the shootout between Saudi Arabia and North Korea?,first_shooter,Unknown,shootouts
Did either American Samoa or Solomon Islands have home advantage?,neutral_status,Yes,results
Did Norway and Slovenia play on neutral ground?,neutral_status,No,results
Who took the first penalty in the shootout between Réunion and Madagascar?,first_shooter,Unknown,shootouts
Who was the goalscorer for Sweden versus Luxembourg?,scorer,Andreas Granqvist,goalscorers
When was the match between Tajikistan and Jordan played?,match_date,2024-02-02,results
How many goals did the away team Romania score in this match?,away_team_score,1,results
How many goals were scored by the home team Argentina against Bulgaria?,home_team_score,3,results
What was the away team's goal total against Myanmar?,away_team_score,3,results
In which minute did Sebastjan Cimirotič score in Slovenia versus Switzerland?,goal_minute,82,goalscorers
Which team took the first kick between Fiji and Solomon Islands on 1991-09-20?,first_shooter,Unknown,shootouts
What was the home team's score when Kuwait played Mali on 1996-11-22?,home_team_score,4,results
Who found the net for Australia against Tonga?,scorer,Kevin Muscat,goalscorers
At what minute did Albert Rusnák find the net against Malta?,goal_minute,16,goalscorers
How many times did the away team Lebanon score against Jordan?,away_team_score,0,results
Was Spas Delev's goal for Bulgaria against Netherlands an own goal?,own_goal_status,No,goalscorers
How many times did the home team Belarus score against Norway?,home_team_score,0,results
What day was the match between Rwanda and Congo?,match_date,2000-07-02,results
Which player scored for Latvia in the 1995-06-03 match against Portugal?,scorer,Vīts Rimkus,goalscorers
What was the final result when Colombia played Scotland?,match_score,Colombia 1 - 0 Scotland,results
Which tournament was the match between China and Uzbekistan part of?,tournament,Friendly,results
Who was the first shooter in the penalty shootout between Papua New Guinea and Vanuatu?,first_shooter,Unknown,shootouts
What date did Egypt and Benin play each other?,match_date,2026-01-05,results
Did Chile and Guinea play on neutral ground?,neutral_status,Yes,results
Who was the winner of the penalty shootout between Tanzania and Lesotho?,shootout_winner,Tanzania,shootouts
Was the goal scored by João Cancelo for Portugal a penalty?,penalty_status,No,goalscorers
How many goals were scored by the away team New Zealand against Saudi Arabia?,away_team_score,3,results
How many goals were scored altogether when Portugal played Canada?,total_goals,5,results
What was the score between El Salvador and Barbados in CONCACAF Nations League qualification?,match_score,El Salvador 3 - 0 Barbados,results
What competition did Jamaica and Curaçao play in?,tournament,Friendly,results
What date did Montenegro and Czech Republic play each other?,match_date,2019-09-10,results
In which city and country did England play Northern Ireland?,match_location,"Liverpool, England",results
What was the location of El Salvador versus Barbados?,match_location,"San Salvador, El Salvador",results
What was the location of Republic of Ireland versus Netherlands?,match_location,"Dublin, Republic of Ireland",results
Who scored for Uruguay in the match against Ecuador on 1939-01-22?,scorer,Severino Varela,goalscorers
At what minute did Jaylee Hodgson find the net against Belize?,goal_minute,58,goalscorers
At what minute did Florent Muslija find the net against Cyprus?,goal_minute,22,goalscorers
How many goals were scored by the home team Portugal against Argentina?,home_team_score,1,results
Was Igor Simutenkov's goal against Cyprus scored into their own net?,own_goal_status,No,goalscorers
Where did Belize face Anguilla?,match_location,"Belmopan, Belize",results
Did Roy Krishna register an own goal in the match against Solomon Islands?,own_goal_status,No,goalscorers
Was Central African Republic against Mauritania played away from both teams' home grounds?,neutral_status,No,results
What was the scoreline for Belgium versus Slovenia?,match_score,Belgium 2 - 0 Slovenia,results
In what city was Croatia against Gibraltar played?,match_location,"Varaždin, Croatia",results
Who was the winner of the penalty shootout between Malaysia and Kuwait?,shootout_winner,Malaysia,shootouts
In which minute did Gerson Rodrigues score in Luxembourg versus Iceland?,goal_minute,46,goalscorers
Which team won the shootout between Costa Rica and Mexico?,shootout_winner,Mexico,shootouts
What was the home team's score when Papua New Guinea played Tahiti on 2016-06-01?,home_team_score,2,results
Which tournament was the match between Sweden and Wales part of?,tournament,Friendly,results
Did Oliver Bierhoff register an own goal in the match against Ukraine?,own_goal_status,No,goalscorers
When did Georgia face Moldova?,match_date,1997-06-07,results
In what city was Ghana against India played?,match_location,"Kuala Lumpur, Malaysia",results
Who was on the scoresheet for Suriname against Costa Rica?,scorer,Gyrano Kerk,goalscorers
When did the match between Paraguay and Peru take place?,match_date,1973-04-08,results
Who won the match between Paraguay and Mexico?,match_winner,Mexico,results
Who won the shootout when Portugal played Spain?,shootout_winner,Portugal,shootouts
What was the away team's score when Zanzibar played Rwanda?,away_team_score,3,results
Who won the penalty shootout between Tajikistan and Uganda on 2022-03-25?,shootout_winner,Uganda,shootouts
Which tournament included the match between Mexico and Guatemala?,tournament,Gold Cup,results
When was Jeje Lalpekhlua's goal scored in the match against United Arab Emirates?,goal_minute,74,goalscorers
Was the goal involving Careca on 1989-08-20 an own goal?,own_goal_status,No,goalscorers
Was Tunisia against Togo played away from both teams' home grounds?,neutral_status,No,results
Where did Burkina Faso face Kenya?,match_location,"Ouagadougou, Burkina Faso",results
Who found the net for England against Belarus?,scorer,Wayne Rooney,goalscorers
What score did the away team Malta record against Libya?,away_team_score,0,results
Which team was victorious in the penalty shootout between Kenya and Malawi?,shootout_winner,Kenya,shootouts
Was the match between Peru and Nicaragua played at a neutral venue?,neutral_status,No,results
How many goals did the home team Tunisia score in this match?,home_team_score,0,results
Who was the goalscorer for Qatar versus Paraguay?,scorer,Almoez Ali,goalscorers
How many goals did both teams score in total?,total_goals,4,results
Was Colombia versus Peru held at a neutral location?,neutral_status,No,results
Who won the shootout involving Oman and Somalia?,shootout_winner,Oman,shootouts
In which tournament did Cameroon face Sweden?,tournament,FIFA World Cup,results
On what date did Zimbabwe play Egypt?,match_date,2013-06-09,results
What was the away team's score when Israel played Sweden on 1992-11-11?,away_team_score,3,results
How many times did the away team Israel score against Moldova?,away_team_score,4,results
Did Yazan Al-Naimat score a penalty in the match against Oman?,penalty_status,No,goalscorers
Who was the winner of the penalty shootout between Madagascar and Réunion?,shootout_winner,Réunion,shootouts
What was the score between Senegal and Cameroon in African Cup of Nations?,match_score,Senegal 0 - 1 Cameroon,results
When was Mahmoud Al Baher's goal scored in the match against United Arab Emirates?,goal_minute,64,goalscorers
Did either Iceland or Liechtenstein have home advantage?,neutral_status,No,results
At what minute did Soufiane Alloudi find the net against Namibia?,goal_minute,1,goalscorers
Who won the penalty shootout between Senegal and Eswatini on 2022-07-13?,shootout_winner,Senegal,shootouts
How many goals did both teams score in total?,total_goals,2,results
What was the final result when Austria played Wales?,match_score,Austria 1 - 1 Wales,results
Was the goal by Yordan Letchkov recorded as an own goal?,own_goal_status,No,goalscorers
Did Tasos Bakasetas score from the penalty spot against Georgia?,penalty_status,Yes,goalscorers
How many goals were scored by the home team Bahrain against Colombia?,home_team_score,0,results
What was the total goal count in the match between Ecuador and Bolivia?,total_goals,2,results
