question,intent,answer,source_dataset
What was the home team's goal total against Montserrat?,home_team_score,4,results
What was the final score when Mexico played Peru?,match_score,Mexico 3 - 3 Peru,results
When was the Friendly match between Estonia and Finland held?,match_date,1932-08-17,results
In which minute did César Cueto score for Peru against Scotland?,goal_minute,43,goalscorers
How many goals did the away team Estonia score in the Baltic Cup match against Latvia?,away_team_score,1,results
What was the home team's score in Oman versus Jordan?,home_team_score,2,results
Did Saïd Chiba's goal for Morocco come from a penalty kick?,penalty_status,No,goalscorers
In what city was Qatar against Egypt played?,match_location,"Doha, Qatar",results
Did Lajos Tichy convert a penalty against England on 1962-05-31?,penalty_status,No,goalscorers
Who scored for England in the match against San Marino on 2021-03-25?,scorer,Dominic Calvert-Lewin,goalscorers
In which tournament did Colombia face Peru?,tournament,FIFA World Cup qualification,results
Who started the penalty shootout between Egypt and South Korea?,first_shooter,Unknown,shootouts
What minute was Jacob Xowie's goal for New Caledonia?,goal_minute,59,goalscorers
Who was on the scoresheet for Mexico against Curaçao?,scorer,Francisco Flores,goalscorers
How did Dominica vs British Virgin Islands finish?,match_score,Dominica 3 - 2 British Virgin Islands,results
What date did Cambodia and Malaysia play each other?,match_date,1972-10-29,results
What was the score between Croatia and Brazil in Friendly?,match_score,Croatia 1 - 1 Brazil,results
In which minute did Enrique Guaita score for Italy against Austria?,goal_minute,19,goalscorers
What was the total number of goals scored between Mexico and Colombia?,total_goals,5,results
How many goals did the away team Chile score in this match?,away_team_score,0,results
Was the goal by Tim Kleindienst against Italy scored from a penalty?,penalty_status,No,goalscorers
When did the match between Dominican Republic and Haiti take place?,match_date,2013-03-24,results
What was the location of India versus Jamaica?,match_location,"Wolverhampton, England",results
Who took the first penalty in the shootout between Panama and Honduras?,first_shooter,Panama,shootouts
Where was the match between Jamaica and Curaçao played?,match_location,"Kingston, Jamaica",results
Which team won between Algeria and Gambia?,match_winner,Algeria,results
Which player scored for Italy against Norway?,scorer,Pietro Ferraris,goalscorers
Who found the net for Netherlands against Finland?,scorer,Cody Gakpo,goalscorers
Was the goal scored by Khalfan Ibrahim for Qatar a penalty?,penalty_status,No,goalscorers
Which team won the shootout between Denmark and Mexico?,shootout_winner,Denmark,shootouts
Was Joe Masiga's goal for Kenya against Ethiopia an own goal?,own_goal_status,No,goalscorers
How many goals were recorded in Brazil vs Peru?,total_goals,3,results
Who won the match between Colombia and Panama?,match_winner,Panama,results
What was the total number of goals in Namibia versus Mozambique?,total_goals,0,results
How many total goals were scored between Wales and England?,total_goals,3,results
Who kicked first when Egypt played Cameroon in a penalty shootout?,first_shooter,Unknown,shootouts
What was the final result when Slovakia played Israel?,match_score,Slovakia 2 - 3 Israel,results
Did Odilon Polleunis's goal for Belgium come from a penalty kick?,penalty_status,No,goalscorers
How many goals did the home team Zambia score while hosting Ghana?,home_team_score,1,results
Who took the first penalty in the shootout between Palestine and Libya?,first_shooter,Palestine,shootouts
Was the Friendly match between Switzerland and Italy neutral?,neutral_status,No,results
What was the overall goal total for the match?,total_goals,6,results
Which team won between Cameroon and South Africa?,match_winner,Draw,results
How did Madagascar vs Liberia finish?,match_score,Madagascar 2 - 1 Liberia,results
Who was the first shooter in the penalty shootout between Mali and Guinea?,first_shooter,Unknown,shootouts
What date did Moldova and Turkey play each other?,match_date,2007-10-13,results
In what city was Cuba against Guatemala played?,match_location,"Havana, Cuba",results
How many times did the away team Ukraine score against Andorra?,away_team_score,6,results
How many goals were scored altogether when South Africa played Zambia?,total_goals,1,results
Who took the first penalty in the shootout between Réunion and Madagascar?,first_shooter,Unknown,shootouts
What was the score between Sierra Leone and Nigeria?,match_score,Sierra Leone 0 - 1 Nigeria,results
When was the UEFA Euro qualification match between Georgia and Moldova held?,match_date,1994-09-07,results
What was the score between Greece and Nigeria?,match_score,Greece 2 - 1 Nigeria,results
What was the home team's score when Bahrain played Jordan?,home_team_score,0,results
Was the match between Niger and Ivory Coast played at a neutral venue?,neutral_status,No,results
When was the match between Spain and Bulgaria played?,match_date,2025-10-14,results
Was the match between Azerbaijan and Saint Lucia played on neutral soil?,neutral_status,No,results
Who won the shootout involving Seychelles and Mauritius?,shootout_winner,Seychelles,shootouts
Which side took the opening penalty between Mexico and Germany?,first_shooter,Germany,shootouts
What was the result of China against Finland?,match_score,China 2 - 1 Finland,results
What was the location of Kuwait versus Syria?,match_location,"Kuwait City, Kuwait",results
Was the venue neutral for the match between India and Bangladesh?,neutral_status,No,results
Was the match between Sierra Leone and Gambia played at a neutral venue?,neutral_status,No,results
What was the goal minute for Tiberio Godoy against Chile on 1939-01-15?,goal_minute,24,goalscorers
Was the match between Belgium and Netherlands played at a neutral venue?,neutral_status,No,results
What competition did Argentina and Uruguay play in?,tournament,Copa Lipton,results
On what date did Solomon Islands play New Caledonia?,match_date,2004-05-15,results
Who won the shootout involving Bangladesh and Maldives?,shootout_winner,Bangladesh,shootouts
What was the home team's score when Peru played Chile?,home_team_score,6,results
Can you tell me the score between Benin and Ivory Coast?,match_score,Benin 0 - 1 Ivory Coast,results
What was the home team's score when Italy played Serbia?,home_team_score,1,results
Which team kicked first in the shootout between Ethiopia and Rwanda?,first_shooter,Unknown,shootouts
What was the competition for Italy against Nigeria on 2013-11-18?,tournament,Friendly,results
What was the away team's score when Réunion played Mayotte?,away_team_score,0,results
What date did Canada and Ecuador play each other?,match_date,2002-01-22,results
Did Spain and Cape Verde play on neutral ground?,neutral_status,Yes,results
Which team won the shootout between South Africa and Lesotho?,shootout_winner,South Africa,shootouts
Was the match between Slovenia and Scotland played on neutral soil?,neutral_status,No,results
What score did the away team El Salvador record against Dominican Republic?,away_team_score,0,results
Was the match between Ghana and India played at a neutral venue?,neutral_status,Yes,results
What minute was Patson Daka's goal for Zambia?,goal_minute,66,goalscorers
Who won the penalty shootout between Panama and Honduras on 2025-06-28?,shootout_winner,Honduras,shootouts
How did Myanmar vs Singapore finish?,match_score,Myanmar 1 - 1 Singapore,results
Who won the match between Hungary and Greece on 2007-11-21?,match_winner,Greece,results
What was the away team's score in Thailand versus Indonesia?,away_team_score,0,results
Was the goal by Farhod Tadjiyev against Qatar scored from a penalty?,penalty_status,No,goalscorers
Who won the match between Germany and Poland on 1933-12-03?,match_winner,Germany,results
When did Malawi face Zambia?,match_date,1985-10-06,results
Who took the first penalty in the shootout between Niger and Burkina Faso?,first_shooter,Unknown,shootouts
Which team won between Curaçao and Venezuela?,match_winner,Draw,results
What score did the away team Panama record against Jamaica?,away_team_score,1,results
Who was the first shooter in the penalty shootout between Namibia and Botswana?,first_shooter,Unknown,shootouts
Who won the penalty shootout between Burkina Faso and Egypt on 2017-02-01?,shootout_winner,Egypt,shootouts
What was the total number of goals in Qatar versus Indonesia?,total_goals,4,results
What was the scoreline for Réunion versus Comoros?,match_score,Réunion 3 - 0 Comoros,results
Was Stan Pearson's goal for England against Northern Ireland a penalty?,penalty_status,No,goalscorers
Who scored for Ecuador in the match against Paraguay on 2021-09-02?,scorer,Félix Torres,goalscorers
How many goals did the home team Turkey score while hosting Sweden?,home_team_score,2,results
Who scored for Barbados in the match against Aruba on 2000-04-01?,scorer,Jerry Alexander,goalscorers
What was the score between Iceland and Malta in FIFA World Cup qualification?,match_score,Iceland 4 - 1 Malta,results
Was Ivica Olić's goal in Croatia versus Latvia a spot kick?,penalty_status,No,goalscorers
What competition was the match between El Salvador and Guatemala played in?,tournament,Friendly,results
Which team was victorious in the penalty shootout between Libya and Chad?,shootout_winner,Libya,shootouts
Which team won between Gabon and Angola?,match_winner,Gabon,results
Did Paul Young convert a penalty against Saint Vincent and the Grenadines on 1996-09-23?,penalty_status,No,goalscorers
In which city and country did Kosovo play Lithuania?,match_location,"Pristina, Kosovo",results
Which team defeated the other in Chad versus Angola?,match_winner,Chad,results
Which tournament was the match between Hungary and Azerbaijan part of?,tournament,UEFA Euro qualification,results
Which team took the first penalty between Bosnia and Herzegovina and Denmark?,first_shooter,Unknown,shootouts
Was Timofei Kalachev's goal in Belarus versus Kazakhstan a spot kick?,penalty_status,No,goalscorers
How many goals were scored in total when Algeria faced Burkina Faso?,total_goals,2,results
Was Adel Al-Salimi's goal in Yemen versus India a spot kick?,penalty_status,No,goalscorers
How many goals were scored by the home team Ukraine against Turkey?,home_team_score,2,results
At what minute did Leighton James find the net against Poland?,goal_minute,46,goalscorers
How many goals were scored by the home team Germany against Argentina?,home_team_score,2,results
What was the final score when Tanzania played Sudan?,match_score,Tanzania 1 - 1 Sudan,results
Which side took the opening penalty between Peru and Paraguay?,first_shooter,Paraguay,shootouts
Was the match between Austria and Latvia played on neutral soil?,neutral_status,Yes,results
Where was the Friendly match between Chile and Peru held?,match_location,"Santiago, Chile",results
Which side won the penalty shootout between Tunisia and Morocco?,shootout_winner,Tunisia,shootouts
Which location hosted the match between Panama and Mexico?,match_location,"Atlanta, United States",results
What was the home score when Libya played Malta?,home_team_score,1,results
Which tournament featured Singapore versus Vietnam Republic?,tournament,Friendly,results
What was the away score when Cook Islands played Papua New Guinea?,away_team_score,16,results
What was the away team's score when Sierra Leone played Ghana?,away_team_score,3,results
Which event included the match between Venezuela and Argentina?,tournament,FIFA World Cup qualification,results
At what minute did Kostas Mitroglou find the net against Romania?,goal_minute,14,goalscorers
When was Vincent Aboubakar's goal scored in the match against Cape Verde?,goal_minute,44,goalscorers
Who won the penalty shootout between Netherlands and Argentina on 2022-12-09?,shootout_winner,Argentina,shootouts
What was the home score when Papua New Guinea played China?,home_team_score,1,results
What was the combined number of goals in the CONIFA World Football Cup match between Sápmi and Abkhazia?,total_goals,3,results
What score did the away team Antigua and Barbuda record against Saint Kitts and Nevis?,away_team_score,1,results
Which tournament included the match between Thailand and Qatar?,tournament,Friendly,results
Was the match between Padania and Abkhazia played on neutral soil?,neutral_status,Yes,results
How many goals did both teams score in total?,total_goals,0,results
Which player scored for Faroe Islands against Estonia?,scorer,Jóan Símun Edmundsson,goalscorers
What was the home team's score when Northern Ireland played Albania on 1996-12-14?,home_team_score,2,results
Who scored for Canada against Cuba?,scorer,Liam Millar,goalscorers
Was the goal by Juan Ayala against Peru scored from a penalty?,penalty_status,No,goalscorers
Did Johnny Ekström's goal in Sweden versus Malta count as an own goal?,own_goal_status,No,goalscorers
Where was the FIFA World Cup qualification match between Colombia and Ecuador held?,match_location,"Bogotá, Colombia",results
Which tournament was the match between South Korea and Singapore part of?,tournament,Merdeka Tournament,results
Which player scored for Iran against Qatar?,scorer,Ali Daei,goalscorers
How many goals were recorded in Philippines vs Singapore?,total_goals,0,results
On what date did Canada play Cuba?,match_date,2003-07-14,results
What was the final result when Jamaica played Sweden?,match_score,Jamaica 0 - 0 Sweden,results
In which minute did Michal Ďuriš score for Slovakia against Northern Ireland?,goal_minute,110,goalscorers
Did Dominique Rocheteau's goal for France come from a penalty kick?,penalty_status,No,goalscorers
Did José Touré register an own goal in the match against Russia?,own_goal_status,No,goalscorers
Was Fernando Varela's goal in Cape Verde versus Angola a spot kick?,penalty_status,No,goalscorers
What competition was the match between Ivory Coast and DR Congo played in?,tournament,Friendly,results
What was the away team's score when Vietnam played Japan on 2007-07-16?,away_team_score,4,results
How many goals did the away team Iran score in this match?,away_team_score,1,results
What was the date of Iran versus Uzbekistan?,match_date,2007-07-11,results
Who kicked first when Mozambique played Malawi in a penalty shootout?,first_shooter,Unknown,shootouts
What date did France and Denmark play each other?,match_date,2001-08-15,results
Was the goal by Félix Guerra recorded as an own goal?,own_goal_status,No,goalscorers
What date did Monaco and Tibet play each other?,match_date,2001-07-14,results
Was the match between Belgium and United States played at a neutral venue?,neutral_status,No,results
Was the match between South Korea and Mongolia played on neutral soil?,neutral_status,No,results
How many times did the home team Andorra score against Latvia?,home_team_score,0,results
How many total goals were scored between Albania and Portugal?,total_goals,3,results
Was the venue neutral for the match between Wales and Georgia?,neutral_status,No,results
What was the home score when Bangladesh played Lebanon?,home_team_score,1,results
Which tournament included the match between Paraguay and Bolivia?,tournament,FIFA World Cup qualification,results
What was the away score when Andorra played Czech Republic?,away_team_score,4,results
What day was the match between Australia and England?,match_date,1991-06-01,results
What city and country hosted Zanzibar versus Sudan?,match_location,"Zanzibar City, Zanzibar",results
What was the home team's score when Nepal played India on 2015-03-17?,home_team_score,0,results
How many goals did the home team Bahamas score while hosting Trinidad and Tobago?,home_team_score,0,results
How many goals were scored by the away team Cameroon against Cape Verde?,away_team_score,0,results
Who won the shootout when Indonesia played Thailand?,shootout_winner,Indonesia,shootouts
Which player scored for Serbia against Sweden?,scorer,Aleksandar Mitrović,goalscorers
Who took the first penalty in the shootout between China and United Arab Emirates?,first_shooter,Unknown,shootouts
How many goals were scored altogether when China played Kuwait?,total_goals,1,results
Was Czechoslovakia against Yugoslavia played away from both teams' home grounds?,neutral_status,Yes,results
What competition did Myanmar and Vietnam Republic play in?,tournament,Korea Cup,results
Who was the goalscorer for Colombia versus Argentina?,scorer,Freddy Rincón,goalscorers
Was Khvicha Kvaratskhelia's goal for Georgia marked as an own goal?,own_goal_status,No,goalscorers
What was the away team Bolivia's score against Ecuador?,away_team_score,0,results
Who took the first penalty in the shootout between Romania and Sweden?,first_shooter,Sweden,shootouts
What was the away team Kenya's score against Ethiopia?,away_team_score,0,results
What was the home score when Slovakia played Israel?,home_team_score,2,results
What was the away team's score when Argentina played Russia?,away_team_score,1,results
Which tournament was the match between Trinidad and Tobago and Saint Lucia part of?,tournament,Friendly,results
What was the away team's goal total against Costa Rica?,away_team_score,4,results
Who won the match between England and Portugal?,match_winner,England,results
What was the goal minute for Greg Vanney against Grenada on 2004-06-13?,goal_minute,90,goalscorers
What was the goal minute for Rafael Márquez against Costa Rica on 2003-07-24?,goal_minute,19,goalscorers
What score did the home team Bonaire record against Bahamas?,home_team_score,1,results
In which tournament did Lesotho face Angola?,tournament,COSAFA Cup,results
Where was the match between Hong Kong and Taiwan played?,match_location,"Victoria, Hong Kong",results
What was the home team's score in Italy versus England?,home_team_score,2,results
Which tournament featured Nigeria versus Morocco?,tournament,African Cup of Nations,results
Which team took the first kick between Panjab and Cascadia on 2018-06-09?,first_shooter,Unknown,shootouts
Who won the penalty shootout between Ivory Coast and Egypt on 1998-02-21?,shootout_winner,Egypt,shootouts
Which side won when Gambia faced Cameroon?,match_winner,Cameroon,results
On what date did Denmark play Wales?,match_date,2018-09-09,results
Who was the goalscorer for Bolivia versus Argentina?,scorer,Demetrio Angola,goalscorers
How did the match between Estonia and Wales end?,match_score,Estonia 0 - 1 Wales,results
Was Traianos Dellas's goal against Czech Republic scored into their own net?,own_goal_status,No,goalscorers
On what date did El Salvador play Canada?,match_date,1996-12-15,results
Which tournament featured Tonga versus Cook Islands?,tournament,FIFA World Cup qualification,results
Was the match between Faroe Islands and Spain played at a neutral venue?,neutral_status,No,results
When was Paul Van Himst's goal scored in the match against Switzerland?,goal_minute,82,goalscorers
Did Gabino Sosa register an own goal in the match against Bolivia?,own_goal_status,No,goalscorers
Who won the penalty shootout between Iraq and India?,shootout_winner,Iraq,shootouts
On what date did Algeria play Iraq?,match_date,1973-08-15,results
Which player scored for Switzerland against Lithuania?,scorer,Rudolf Ramseyer,goalscorers
How many goals were scored altogether when Spain played Venezuela?,total_goals,5,results
Was the venue neutral for the match between Bulgaria and Romania?,neutral_status,No,results
When was Matateu's goal scored in the match against Yugoslavia?,goal_minute,70,goalscorers
Who emerged as the winner in Wales vs Montenegro?,match_winner,Wales,results
In which minute did Tomas Ramelis score for Lithuania against Faroe Islands?,goal_minute,55,goalscorers
What was the home score when Republic of Ireland played Tunisia?,home_team_score,4,results
When was the Friendly match between United States and Sweden held?,match_date,2008-01-19,results
Which player got the goal for Ivory Coast against Mali?,scorer,Wilfried Zaha,goalscorers
Who won the penalty shootout between Portugal and England on 2004-06-24?,shootout_winner,Portugal,shootouts
How did the match between Ghana and Nigeria end?,match_score,Ghana 0 - 0 Nigeria,results
Which tournament included the match between New Caledonia and Papua New Guinea?,tournament,Oceania Nations Cup qualification,results
Who found the net for Serbia against Andorra?,scorer,Dušan Vlahović,goalscorers
When did Peter Houtman score against Spain?,goal_minute,26,goalscorers
Which side won when South Korea faced Malaysia?,match_winner,Draw,results
What was the competition for Kenya against Zambia on 1964-12-13?,tournament,Friendly,results
Who won the penalty shootout between Argentina and Denmark?,shootout_winner,Argentina,shootouts
How many times did the away team Japan score against South Korea?,away_team_score,0,results
Who scored for Russia against Finland?,scorer,Valery Maslov,goalscorers
Was the goal by Kyle Beckerman against Panama scored from a penalty?,penalty_status,No,goalscorers
How many goals did the home team United Arab Emirates score in this match?,home_team_score,0,results
What date did Malaysia and Singapore play each other?,match_date,1999-12-28,results
Was Andorra versus Azerbaijan held at a neutral location?,neutral_status,Yes,results
When was Ricardo Quaresma's goal scored in the match against Iran?,goal_minute,45,goalscorers
What was the competition for Wales against San Marino on 2007-03-28?,tournament,UEFA Euro qualification,results
What was the score between Saudi Arabia and Brazil on 2018-10-12?,match_score,Saudi Arabia 0 - 2 Brazil,results
In what city was Greenland against Menorca played?,match_location,"Grouville, Jersey",results
Which event included the match between Trinidad and Tobago and Saint Vincent and the Grenadines?,tournament,CONCACAF Nations League,results
What was the away team's score when Argentina played Uruguay on 2008-10-11?,away_team_score,1,results
When did the match between Scotland and England take place?,match_date,1948-04-10,results
In which minute did Stanley Mubiru score for Uganda against Ivory Coast?,goal_minute,60,goalscorers
Which side won the penalty shootout between Lithuania and Iceland?,shootout_winner,Iceland,shootouts
What score did the away team Qatar record against North Korea?,away_team_score,1,results
What was the final result when Belgium played Denmark?,match_score,Belgium 2 - 2 Denmark,results
What city and country hosted Republic of Ireland versus Chile?,match_location,"Dublin, Republic of Ireland",results
Was the goal involving Manolom Phomsouvanh on 2011-06-29 an own goal?,own_goal_status,No,goalscorers
Which side took the opening penalty between Oman and Somalia?,first_shooter,Oman,shootouts
How many times did the home team China score against Estonia?,home_team_score,1,results
What score did the home team Scotland record against Yugoslavia?,home_team_score,2,results
Which team won the shootout between India and Vietnam Republic?,shootout_winner,Vietnam Republic,shootouts
Which player scored for Spain against New Zealand?,scorer,David Villa,goalscorers
In which city and country did Sri Lanka play Maldives?,match_location,"Kathmandu, Nepal",results
Which side took the opening penalty between Iran and North Korea?,first_shooter,Unknown,shootouts
What score did Denmark and Poland finish with?,match_score,Denmark 2 - 0 Poland,results
Which event included the match between Paraguay and Ecuador?,tournament,FIFA World Cup qualification,results
Who was the first shooter in the penalty shootout between Kenya and Uganda?,first_shooter,Unknown,shootouts
Was Giovani dos Santos's goal against United States scored into their own net?,own_goal_status,No,goalscorers
What day was the match between Isle of Man and Saare County?,match_date,2003-06-30,results
Which team kicked first in the shootout between Burkina Faso and Ghana?,first_shooter,Ghana,shootouts
What was the away team's score in Sudan versus Chad?,away_team_score,2,results
What was the home team's goal total against Angola?,home_team_score,2,results
What was the away team Malawi's score against Mali?,away_team_score,1,results
What was the final score when Panama played Costa Rica?,match_score,Panama 2 - 0 Costa Rica,results
What was the scoreline for Spain versus France?,match_score,Spain 2 - 1 France,results
In which tournament did Egypt face DR Congo?,tournament,African Cup of Nations,results
Who emerged as the winner in Andorra vs Romania?,match_winner,Romania,results
What was the home team's score in Malawi versus Botswana?,home_team_score,1,results
Was the Kirin Cup match between China and Republic of Ireland neutral?,neutral_status,Yes,results
Which side won the penalty shootout between Thailand and Cambodia?,shootout_winner,Thailand,shootouts
Which side took the opening penalty between Iran and Uganda?,first_shooter,Unknown,shootouts
Did Craig Bellamy convert a penalty against Cyprus on 2006-10-11?,penalty_status,No,goalscorers
Was Brian McClair's goal against Russia scored into their own net?,own_goal_status,No,goalscorers
Was Jorge Soto's goal for Peru against Argentina a penalty?,penalty_status,No,goalscorers
What was the score between El Salvador and Guatemala?,match_score,El Salvador 3 - 2 Guatemala,results
What was the home team's score when Saudi Arabia played Bahrain?,home_team_score,3,results
What was the home team's score when Mexico played United States?,home_team_score,2,results
When was the match between Syria and South Korea played?,match_date,2006-02-22,results
What score did Bangladesh and India finish with?,match_score,Bangladesh 1 - 1 India,results
Who took the first penalty in the shootout between Cyprus and Austria?,first_shooter,Unknown,shootouts
Who started the penalty shootout between Singapore and Vietnam Republic?,first_shooter,Unknown,shootouts
Which team won the shootout between Zambia and Namibia?,shootout_winner,Namibia,shootouts
Who was the winner when Senegal played Mali?,match_winner,Senegal,results
What was the away team Canada's score against Australia?,away_team_score,1,results
What was the date of Croatia versus Hungary?,match_date,1940-12-08,results
What was the home team's score in Czechoslovakia versus Denmark?,home_team_score,1,results
Which team won between Albania and Yugoslavia?,match_winner,Yugoslavia,results
In which city and country did Nigeria play Lesotho?,match_location,"Warri, Nigeria",results
Who won the shootout involving Rwanda and Burundi?,shootout_winner,Rwanda,shootouts
What was the home team's score when Belgium played England on 1928-05-19?,home_team_score,1,results
How many goals were recorded in Hungary vs Switzerland?,total_goals,3,results
Did Ange-Freddy Plumain score a penalty in the match against Guatemala?,penalty_status,Yes,goalscorers
Who won the Friendly match between Oman and Syria?,match_winner,Draw,results
Did Jon Dahl Tomasson convert a penalty against Bulgaria on 2004-06-18?,penalty_status,No,goalscorers
Where was the match between Bangladesh and India played?,match_location,"Kathmandu, Nepal",results
How many goals did the home team North Macedonia score against Croatia?,home_team_score,2,results
Was the match between Russia and Argentina played at a neutral venue?,neutral_status,No,results
Which tournament was the match between Slovakia and Switzerland part of?,tournament,Friendly,results
Did Lajos Tichy score a penalty in the match against Wales?,penalty_status,No,goalscorers
Was the match between China and Slovakia played at a neutral venue?,neutral_status,No,results
Was Kyaw Zayar Win's goal in Myanmar versus Laos a spot kick?,penalty_status,No,goalscorers
When did the match between Isle of Wight and Gibraltar take place?,match_date,2011-06-28,results
When did the match between Liberia and Guinea take place?,match_date,1979-01-28,results
Did Tasos Mitropoulos's goal in Greece versus Hungary count as an own goal?,own_goal_status,No,goalscorers
What date did Japan and Sweden play each other?,match_date,2002-05-25,results
Can you tell me the score between Vietnam and Turkmenistan?,match_score,Vietnam 0 - 4 Turkmenistan,results
Was Jan Bartram's goal for Denmark marked as an own goal?,own_goal_status,No,goalscorers
Was the goal involving Salomón Rondón on 2023-09-12 an own goal?,own_goal_status,No,goalscorers
Did Jean Nicolas's goal for France come from a penalty kick?,penalty_status,No,goalscorers
Which player got the goal for United States against Honduras?,scorer,Clint Dempsey,goalscorers
Who won the FIFA World Cup qualification match between Mexico and Honduras?,match_winner,Mexico,results
Was Hitra versus Frøya held at a neutral location?,neutral_status,Yes,results
How many times did the away team Niger score against Gabon?,away_team_score,0,results
In which city and country did Republic of Ireland play Poland?,match_location,"Dublin, Republic of Ireland",results
What was the home team's goal total against Panama?,home_team_score,2,results
Did Marquinhos score a penalty in the match against Peru?,penalty_status,No,goalscorers
Which player got the goal for Bosnia and Herzegovina against Belgium?,scorer,Edin Džeko,goalscorers
Who came out on top between Malawi and Uganda?,match_winner,Draw,results
